AttackerClanName,DefenderClanName,AttackerName,DefenderName,EndTime,PreparationStartTime,StartTime,State,WarType,WarTag,LeagueId,Season,ClanNoStat,OpponentNoStat,ClanTag,OpponentTag,Id,WarId,AttackerTag,DefenderTag,Stars,StarsGained,DestructionPercentage,Order,Fresh,AttackerClanTag,DefenderClanTag,AttackerMapPosition,DefenderMapPosition,AttackerTownhall,DefenderTownhall,DownloadedAt,AttackerDiscordId,DefenderDiscordId,AttackerHidden,DefenderHidden,ManuallyEntered
EAGLE'S SHADOW,神性Chronos™,Lv.22 TryHard,,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117778231,2538128,#9Y2UJJRQ9,,,,,,False,#8CQPCYP2,#2L00LC0VQ,29,,11,,06/06/2022 13:46:27,644604828567207946,,False,False,False
EAGLE'S SHADOW,神性Chronos™,PrInCe ThInD,,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117778230,2538128,#PYVCUYQP8,,,,,,False,#8CQPCYP2,#2L00LC0VQ,10,,13,,06/06/2022 13:46:27,,,False,False,False
EAGLE'S SHADOW,神性Chronos™,PrInCe ThInD,,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117778229,2538128,#PYVCUYQP8,,,,,,False,#8CQPCYP2,#2L00LC0VQ,10,,13,,06/06/2022 13:46:27,,,False,False,False
EAGLE'S SHADOW,神性Chronos™,WICKED HARIS,,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117778228,2538128,#2Y9V8809,,,,,,False,#8CQPCYP2,#2L00LC0VQ,30,,11,,06/06/2022 13:46:27,373315623112933376,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Aki no kaze,,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117778227,2538128,#9Y2UQ9VLQ,,,,,,False,#8CQPCYP2,#2L00LC0VQ,7,,14,,06/06/2022 13:46:27,627891302364872735,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Rajan,,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117778226,2538128,#2QPLQY0PR,,,,,,False,#8CQPCYP2,#2L00LC0VQ,26,,11,,06/06/2022 13:46:27,481807208804384789,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Rajan,,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117778225,2538128,#2QPLQY0PR,,,,,,False,#8CQPCYP2,#2L00LC0VQ,26,,11,,06/06/2022 13:46:27,481807208804384789,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Behin=D You,神ElChapo™️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117778224,2538128,#YUGQUGRV,#YLQL2YVRU,2,0,91,113,False,#8CQPCYP2,#2L00LC0VQ,21,19,12,12,06/06/2022 13:46:27,627891302364872735,635129533024043013,False,False,False
EAGLE'S SHADOW,神性Chronos™,Azmat Maseed,ElChapo™TH¹²2.0,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117777353,2538128,#Y8QQLRYVU,#YYGGQCQ9,2,0,67,110,False,#8CQPCYP2,#2L00LC0VQ,23,25,12,12,06/06/2022 13:41:25,373315623112933376,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Haru No Ame,⭐️⭐️⭐️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117777352,2538128,#280PVPCJ0,#2CVRGYPY,2,0,97,111,False,#8CQPCYP2,#2L00LC0VQ,12,10,13,13,06/06/2022 13:41:25,627891302364872735,655766562258681867,False,False,False
EAGLE'S SHADOW,神性Chronos™,Aki no kaze,로켓고드Xqr™,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117777351,2538128,#9Y2UQ9VLQ,#JR9GUUJ,2,0,86,112,False,#8CQPCYP2,#2L00LC0VQ,7,8,14,14,06/06/2022 13:41:25,627891302364872735,612745800241381376,False,False,False
EAGLE'S SHADOW,神性Chronos™,Haru No Ame,漫舞ⓞⓞⓖⓦⓐⓨ,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117776568,2538128,#280PVPCJ0,#8LPLJLJ9J,2,2,89,109,False,#8CQPCYP2,#2L00LC0VQ,12,13,13,13,06/06/2022 13:35:11,627891302364872735,371414602979999745,False,False,False
EAGLE'S SHADOW,神性Chronos™,Azmat Maseed,神ElChapo™️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117772816,2538128,#Y8QQLRYVU,#YLQL2YVRU,2,0,99,108,False,#8CQPCYP2,#2L00LC0VQ,23,19,12,12,06/06/2022 13:09:40,373315623112933376,635129533024043013,False,False,False
EAGLE'S SHADOW,神性Chronos™,Sajid(iori_km),로켓고드Xqr™,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117771106,2538128,#28PYL09P2,#JR9GUUJ,2,0,97,107,False,#8CQPCYP2,#2L00LC0VQ,4,8,14,14,06/06/2022 12:55:24,288238259656589312,612745800241381376,False,False,False
EAGLE'S SHADOW,神性Chronos™,Behin=D You,ElChapo™TH¹²2.0,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117771105,2538128,#YUGQUGRV,#YYGGQCQ9,2,0,99,104,False,#8CQPCYP2,#2L00LC0VQ,21,25,12,12,06/06/2022 12:55:24,627891302364872735,,False,False,False
EAGLE'S SHADOW,神性Chronos™,BacchuS,埃盧安ᴳᵒᵈȺꝁᵾᴍȺ,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117771104,2538128,#28209Y02R,#2P2G8GLQJ,3,1,100,106,False,#8CQPCYP2,#2L00LC0VQ,17,24,12,12,06/06/2022 12:55:24,484085029916639242,381344923791785984,False,False,False
EAGLE'S SHADOW,神性Chronos™,Mubashar Sheikh,❤️kiermaren❤️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117771103,2538128,#2JVC90JLG,#80Q9YPUQU,3,1,100,105,False,#8CQPCYP2,#2L00LC0VQ,1,9,14,14,06/06/2022 12:55:24,288238259656589312,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Dracule Mihawk,noU,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117769767,2538128,#2RQ2VYPVQ,#YGVPPVPL,3,1,100,103,False,#8CQPCYP2,#2L00LC0VQ,24,21,12,12,06/06/2022 12:44:52,,,False,False,False
神性Chronos™,EAGLE'S SHADOW,Sekhmet,PrInCe ThInD,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117766424,2538128,#Y2L9P0JR8,#PYVCUYQP8,3,1,100,102,False,#2L00LC0VQ,#8CQPCYP2,12,10,13,13,06/06/2022 12:19:14,664831997436231692,,False,False,False
神性Chronos™,EAGLE'S SHADOW,漫舞ⓞⓞⓖⓦⓐⓨ,PrInCe ThInD,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117764694,2538128,#8LPLJLJ9J,#PYVCUYQP8,2,1,88,101,False,#2L00LC0VQ,#8CQPCYP2,13,10,13,13,06/06/2022 12:04:21,371414602979999745,,False,False,False
神性Chronos™,EAGLE'S SHADOW,漫舞ⓞⓞⓖⓦⓐⓨ,DIGVIJAYSINH,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117764693,2538128,#8LPLJLJ9J,#PU2GU89G2,2,0,86,100,False,#2L00LC0VQ,#8CQPCYP2,13,13,13,13,06/06/2022 12:04:21,371414602979999745,,False,False,False
神性Chronos™,EAGLE'S SHADOW,Sekhmet,Xampson my Kid,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117763487,2538128,#Y2L9P0JR8,#UV2QCUR2,3,1,100,99,False,#2L00LC0VQ,#8CQPCYP2,12,11,13,13,06/06/2022 11:54:26,664831997436231692,,False,False,False
神性Chronos™,EAGLE'S SHADOW,Phoenix ™,WICKED HARIS,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117759593,2538128,#9P99C9CJ,#2Y9V8809,3,1,100,98,False,#2L00LC0VQ,#8CQPCYP2,27,30,11,11,06/06/2022 11:23:30,302796023745740800,373315623112933376,False,False,False
神性Chronos™,EAGLE'S SHADOW,Phoenix ™,Anirudhッ,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117758452,2538128,#9P99C9CJ,#20V9PC09J,1,0,87,97,False,#2L00LC0VQ,#8CQPCYP2,27,28,11,11,06/06/2022 11:13:40,302796023745740800,566135552089391104,False,False,False
EAGLE'S SHADOW,神性Chronos™,BacchuS,神ElChapo™️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117753481,2538128,#28209Y02R,#YLQL2YVRU,2,0,80,96,False,#8CQPCYP2,#2L00LC0VQ,17,19,12,12,06/06/2022 10:28:36,484085029916639242,635129533024043013,False,False,False
神性Chronos™,EAGLE'S SHADOW,orKs emaz,Prof.Dr.Elektro,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117747938,2538128,#CJG8PYRC,#9CQUCC9J9,2,1,67,95,False,#2L00LC0VQ,#8CQPCYP2,7,8,14,14,06/06/2022 09:36:59,,372752870656966656,False,False,False
EAGLE'S SHADOW,神性Chronos™,DIGVIJAYSINH,✨⚡la team R⚡✨,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117746790,2538128,#PU2GU89G2,#JU0U0LU8,3,1,100,94,False,#8CQPCYP2,#2L00LC0VQ,13,11,13,13,06/06/2022 09:26:31,,381344923791785984,False,False,False
EAGLE'S SHADOW,神性Chronos™,Sajid(iori_km),orKs emaz,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117744325,2538128,#28PYL09P2,#CJG8PYRC,3,1,100,93,False,#8CQPCYP2,#2L00LC0VQ,4,7,14,14,06/06/2022 09:03:10,288238259656589312,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Mubashar Sheikh,orKs Tywen,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117744324,2538128,#2JVC90JLG,#2R9U9G90L,3,1,100,92,False,#8CQPCYP2,#2L00LC0VQ,1,6,14,14,06/06/2022 09:03:10,288238259656589312,634849319719010330,False,False,False
神性Chronos™,EAGLE'S SHADOW,orKs emaz,Miracle-,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117743984,2538128,#CJG8PYRC,#LL8PP8GY,2,0,90,91,False,#2L00LC0VQ,#8CQPCYP2,7,5,14,14,06/06/2022 09:00:04,,854830291352420392,False,False,False
